啡	啡
啃	啃
啊	啊
唱	唱
啖	啖
問	问
啕	啕
唯	唯
啤	啤
唸	念
售	售
啜	啜
唬	唬
啣	衔
唳	唳
圈	圈
國	国
域	域
堅	坚
堊	垩
堆	堆
埠	埠
埤	埤
基	基
堂	堂
堵	堵
執	执
培	培
夠	够
奢	奢
娶	娶
婁	娄
婉	婉
婦	妇
婪	婪
婀	婀
娼	娼
婢	婢
婚	婚
婆	婆
婊	婊
孰	孰
寇	寇
寅	寅
寄	寄
寂	寂
宿	宿
密	密
尉	尉
專	专
將	将
屠	屠
屜	屉
崇	崇
崆	崆
崎	崎
崛	崛
崖	崖
崢	峥
崑	昆
崩	崩
崔	崔
崙	仑
巢	巢
常	常
帶	带
帳	帐
帷	帷
康	康
庸	庸
庶	庶
庵	庵
庾	庾
張	张
強	强
彗	彗
彬	彬
彩	彩
彫	雕
得	得
徙	徙
從	从
徘	徘
御	御
恿	恿
患	患
悉	悉
悠	悠
您	您
惋	惋
悴	悴
惦	惦
悽	凄
情	情
悻	悻
悵	怅
惜	惜
悼	悼
惘	惘
惕	惕
惆	惆
惟	惟
悸	悸
惚	惚
戚	戚
戛	戛
扈	扈
掠	掠
控	控
捲	卷
掖	掖
探	探
接	接
捷	捷
捧	捧
掘	掘
措	措
捱	捱
掩	掩
掉	掉
掃	扫
掛	挂
捫	扪
推	推
掄	抡
授	授
掙	挣
採	采
掬	掬
排	排
掏	掏
掀	掀
捻	捻
捩	捩
捨	舍
敝	敝
敖	敖
救	救
教	教
敗	败
啟	启
敏	敏
敘	叙
斜	斜
斬	斩
族	族
旋	旋
旌	旌
旎	旎
晝	昼
晚	晚
晤	晤
晨	晨
晦	晦
曹	曹
勗	勖
望	望
梁	梁
梯	梯
梢	梢
梓	梓
梵	梵
桿	杆
桶	桶
梱	捆
梧	梧
梗	梗
械	械
梃	梃
棄	弃
梭	梭
梆	梆
梅	梅
梔	栀
條	条
梨	梨
梟	枭
欲	欲
殺	杀
毫	毫
氫	氢
涎	涎
涼	凉
淳	淳
淙	淙
液	液
淡	淡
淌	淌
淤	淤
添	添
淺	浅
清	清
淇	淇
淋	淋
涯	涯
淑	淑
